REACTION	ROLE	SUBSYSTEM	SOURCE	COMPLEX	MASTER
rxn13782	LSU ribosomal protein L9p	NONE	CHRIS FILE	1554	1
rxn13782	LSU ribosomal protein L7/L12 (P1/P2)	NONE	CHRIS FILE	1554	1
rxn13782	Arginyl-tRNA synthetase (EC 6.1.1.19)	NONE	CHRIS FILE	1554	1
rxn13782	SSU ribosomal protein S10p (S20e)	NONE	CHRIS FILE	1554	1
rxn13782	LSU ribosomal protein L19p	NONE	CHRIS FILE	1554	1
rxn13782	LSU ribosomal protein L36p	NONE	CHRIS FILE	1554	1
rxn13782	SSU ribosomal protein S16p	NONE	CHRIS FILE	1554	1
rxn13782	LSU ribosomal protein L33p	NONE	CHRIS FILE	1554	1
rxn13782	LSU ribosomal protein L17p	NONE	CHRIS FILE	1554	1
rxn13782	LSU ribosomal protein L27p	NONE	CHRIS FILE	1554	1
rxn11262	spermidine/putrescine ABC transporter permease protein	NONE	CHRIS FILE	2033	1
rxn00950	Cystathionine beta-lyase, type II (EC 4.4.1.8)	NONE	Hope|MATT FILE	100878	1
rxn00950	Cystathionine beta-lyase (EC 4.4.1.8)	NONE	Hope|MATT FILE|CHRIS FILE	389	1
rxn00950	Cystathionine beta-lyase (EC 4.4.1.8) (CBL) (Beta-cystathionase) (Cysteine lyase)	NONE	CHRIS FILE	1683	1
rxn10264	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	NONE	CHRIS FILE	390	1
rxn10208	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	NONE	CHRIS FILE	1849	1
rxn10208	Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	NONE	CHRIS FILE	1882	1
rxn10208	Phosphate:acyl-ACP acyltransferase PlsX	NONE	CHRIS FILE	1849	1
rxn05445	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	NONE	CHRIS FILE	391	1
rxn00069	Glutamate synthase [NADH] (EC 1.4.1.14)	Ammonia_assimilation	Hope|MATT FILE	100879	1
rxn00069	NADH-dependent glutamate synthase (EC 1.4.1.14), GOGAT	Gamma-aminobutyrate_(GABA)_shunt	Hope|MATT FILE	100880	1
rxn00621	Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)	NONE	Hope|CHRIS FILE	392	1
rxn01313	Dihydropteridine reductase (EC 1.5.1.34)	NONE	Hope|MATT FILE	100881	1
rxn00715	Uridine kinase (EC 2.7.1.48) [C1]	NONE	CHRIS FILE	398	1
rxn00715	Uridine kinase (EC 2.7.1.48)	NONE	Hope|MATT FILE	100882	1
rxn10157	C4-dicarboxylate transporter DcuA	NONE	CHRIS FILE	2035	1
rxn10157	C4-dicarboxylate transporter DcuB	NONE	CHRIS FILE	2035	1
rxn01647	Purine nucleoside phosphorylase II ( EC:2.4.2.1 )	NONE	CHRIS FILE	405	1
rxn01647	Purine nucleoside phosphorylase (EC 2.4.2.1)	NONE	CHRIS FILE	405	1
rxn06979	Cobyrinic acid A,C-diamide synthase	NONE	Hope|MATT FILE	100883	1
rxn01146	Thymidine phosphorylase (EC 2.4.2.4)	NONE	Hope|MATT FILE|MATT FILE	100884	1
rxn01146	Thymidine phosphorylase (EC 2.4.2.4)	NONE	Hope|MATT FILE|MATT FILE	100885	1
rxn12642	Peptidase B (EC 3.4.11.23)	NONE	CHRIS FILE	1673	1
rxn12642	Membrane alanine aminopeptidase N (EC 3.4.11.2)	NONE	CHRIS FILE	1674	1
rxn12642	Isoaspartyl aminopeptidase (EC 3.4.19.5)	NONE	CHRIS FILE	1671	1
rxn12642	Methionine aminopeptidase (EC 3.4.11.18)	NONE	CHRIS FILE	1677	1
rxn12642	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	NONE	CHRIS FILE	1675	1
rxn12642	Asp-X dipeptidase	NONE	CHRIS FILE	1672	1
rxn12642	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	NONE	CHRIS FILE	1678	1
rxn12642	Cytosol aminopeptidase PepA (EC 3.4.11.1)	NONE	CHRIS FILE	1676	1
rxn00875	Acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)	NONE	MATT FILE|CHRIS FILE	408	1
rxn00875	Acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)	NONE	MATT FILE|CHRIS FILE	408	1
rxn00875	Acetate CoA-transferase beta subunit (EC 2.8.3.8)	NONE	Hope	100886	0
rxn00875	Acetate CoA-transferase alpha subunit (EC 2.8.3.8)	NONE	Hope	100887	0
rxn01252	Pyridoxine 4-oxidase (EC 1.1.3.12)	Gamma-aminobutyrate_(GABA)_shunt	Hope|MATT FILE	100888	1
rxn00152	Pyruvate oxidase (EC 1.2.3.3)	NONE	Hope|MATT FILE	100889	1
rxn01192	Protocatechuate 3,4-dioxygenase beta chain (EC 1.13.11.3)	NONE	Hope|MATT FILE	100890	1
rxn01192	Protocatechuate 3,4-dioxygenase alpha chain (EC 1.13.11.3)	NONE	Hope|MATT FILE	100891	1
rxn05198	Nucleoside permease NupC	NONE	CHRIS FILE|CHRIS FILE	412	1
rxn05198	Nucleoside permease NupC	NONE	CHRIS FILE|CHRIS FILE	2033	1
rxn05198	Nucleoside permease NupG	NONE	CHRIS FILE	2034	1
rxn00881	Myo-inositol-1(or 4)-monophosphatase (EC 3.1.3.25)	NONE	Hope	100892	0
rxn00881	Inositol-1-monophosphatase (EC 3.1.3.25)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	425	1
rxn00881	Inositol-1-monophosphatase (EC 3.1.3.25)	NONE	MATT FILE|CHRIS FILE	425	1
rxn05247	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	NONE	CHRIS FILE	427	1
rxn05247	Acetoacetyl-CoA synthetase [leucine] (EC 6.2.1.16)	NONE	CHRIS FILE	429	0
rxn10133	Probable 3-phenylpropionic acid transporter	NONE	CHRIS FILE	3078	1
rxn00986	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	NONE	Hope|CHRIS FILE	1833	1
rxn00986	Propionate--CoA ligase (EC 6.2.1.17)	NONE	Hope	100893	0
rxn00986	Propionate--CoA ligase (EC 6.2.1.17)	NONE	Hope	100894	0
rxn00501	Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)	NONE	Hope|MATT FILE	100895	1
rxn00501	Malonate-semialdehyde dehydrogenase (EC 1.2.1.18)	NONE	Hope|MATT FILE	100896	1
rxn00501	Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	NONE	Hope|MATT FILE|CHRIS FILE	433	1
rxn07588	Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-)	NONE	Hope|MATT FILE	100897	1
rxn08356	Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.99.-)	NONE	CHRIS FILE	1683	1
rxn08356	Anaerobic dimethyl sulfoxide reductase chain C (EC 1.8.99.-)	NONE	CHRIS FILE	1683	1
rxn08356	Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-)	NONE	CHRIS FILE	1683	1
rxn07845	Glucarate dehydratase (EC 4.2.1.40)	NONE	CHRIS FILE	437	1
rxn09688	Nucleoside permease NupC	NONE	CHRIS FILE	3069	1
rxn09688	Nucleoside permease NupG	NONE	CHRIS FILE	3068	1
rxn03898	Benzoate 1,2-dioxygenase alpha subunit (EC 1.14.12.10)	NONE	Hope|MATT FILE	100898	1
rxn03898	Benzoate 1,2-dioxygenase (EC 1.14.12.10)	NONE	Hope	100899	0
rxn03898	Benzoate 1,2-dioxygenase beta subunit (EC 1.14.12.10)	NONE	Hope|MATT FILE	100900	1
rxn03898	Benzoate 1,2-dioxygenase beta subunit (EC 1.14.12.10)	NONE	Hope|MATT FILE	100901	1
rxn05369	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	NONE	CHRIS FILE	441	1
rxn05594	Alkanesulfonates-binding protein	NONE	CHRIS FILE	442	1
rxn05594	Alkanesulfonates transport system permease protein	NONE	CHRIS FILE	442	1
rxn05594	Alkanesulfonates ABC transporter ATP-binding protein	NONE	CHRIS FILE	442	1
rxn02504	Dihydroneopterin aldolase (EC 4.1.2.25)	NONE	Hope|MATT FILE|CHRIS FILE	446	1
rxn01748	Allantoinase (EC 3.5.2.5)	Allantoin_Utilization	Hope|Hope|MATT FILE|MATT FILE|CHRIS FILE	447	1
rxn01748	Allantoinase (EC 3.5.2.5)	Allantoin_degradation	Hope|Hope|MATT FILE|MATT FILE|CHRIS FILE	447	1
rxn01672	Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	NONE	Hope|MATT FILE	100902	1
rxn05493	2-oxoglutarate/malate translocator	NONE	CHRIS FILE	452	1
rxn05493	Alpha-ketoglutarate permease	NONE	CHRIS FILE	3011	1
rxn05493	alpha-ketoglutarate permease (kgtP)	NONE	CHRIS FILE	3011	1
rxn10473	Chloride channel protein	NONE	CHRIS FILE	1643	1
rxn05223	Substrate-specific component BioY of biotin ECF transporter	NONE	CHRIS FILE	2043	1
rxn08975	Type 2 NADH dehydrogenase (EC 1.6.99.3)	NONE	CHRIS FILE	1994	1
rxn08975	NADH dehydrogenase, subunit 5	NONE	CHRIS FILE	1995	1
rxn08975	NADH dehydrogenase (EC 1.6.99.3)	NONE	CHRIS FILE	1993	1
rxn05215	sodium/alanine symporter family protein	NONE	CHRIS FILE	2043	1
rxn01226	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	NONE	Hope|MATT FILE	100903	1
rxn04657	Acetylaminoadipate kinase (EC 2.7.2.-)	NONE	Hope|MATT FILE	100904	1
rxn10293	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	NONE	CHRIS FILE	2023	1
rxn01640	Formiminoglutamic iminohydrolase (EC 3.5.3.13)	NONE	Hope|MATT FILE	100905	1
rxn00904	Probable valine-pyruvate aminotransferase (EC 2.6.1.66)	NONE	Hope|MATT FILE	100906	1
rxn00904	Valine--pyruvate aminotransferase (EC 2.6.1.66)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE	100907	1
rxn00904	Valine--pyruvate aminotransferase (EC 2.6.1.66)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE	100908	1
rxn00904	Valine--pyruvate aminotransferase (EC 2.6.1.66)	NONE	Hope|MATT FILE|MATT FILE|MATT FILE	100909	1
rxn05534	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	NONE	CHRIS FILE	3007	1
rxn05534	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	NONE	CHRIS FILE	3005	1
rxn05534	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3000	1
rxn05534	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3004	1
rxn05534	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	NONE	CHRIS FILE	3003	1
rxn05534	Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	NONE	CHRIS FILE	3008	1
rxn05534	oligopeptide ABC transporter, ATP-binding protein (oppF)	NONE	CHRIS FILE	3011	1
rxn05534	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	NONE	CHRIS FILE	3009	1
rxn05534	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	NONE	CHRIS FILE	3010	1
rxn05534	Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	NONE	CHRIS FILE	3001	1
rxn05534	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	NONE	CHRIS FILE	3002	1
rxn05534	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	NONE	CHRIS FILE	3006	1
rxn03918	D-glycero-beta-D-manno-heptose 7-phosphate kinase	NONE	Hope|MATT FILE	100910	1
rxn09132	Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)	NONE	CHRIS FILE	1943	1
rxn05732	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	NONE	CHRIS FILE	1683	1
rxn08556	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	NONE	CHRIS FILE	1679	1
rxn08556	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	NONE	CHRIS FILE	1680	1
rxn08556	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	NONE	CHRIS FILE|CHRIS FILE	1679	1
rxn08556	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	NONE	CHRIS FILE|CHRIS FILE	1679	1
rxn00912	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	NONE	Hope|MATT FILE|CHRIS FILE	473	1
rxn05446	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	NONE	CHRIS FILE	474	1
rxn05618	Manganese transport protein MntH	NONE	CHRIS FILE	479	1
rxn05435	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	NONE	CHRIS FILE	481	1
rxn01358	Purine nucleoside phosphorylase II ( EC:2.4.2.1 )	NONE	CHRIS FILE	484	1
rxn01358	Purine nucleoside phosphorylase (EC 2.4.2.1)	NONE	Hope|MATT FILE|CHRIS FILE	484	1
rxn01358	Xanthosine phosphorylase (EC 2.4.2.1)	NONE	CHRIS FILE	1683	1
rxn00692	Serine hydroxymethyltransferase (EC 2.1.2.1)	Flavohaemoglobin	Hope|MATT FILE|MATT FILE|CHRIS FILE	482	1
rxn00692	Serine hydroxymethyltransferase (EC 2.1.2.1)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	482	1
rxn00692	Serine hydroxymethyltransferase (EC 2.1.2.1)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	482	1
rxn00692	Serine hydroxymethyltransferase (EC 2.1.2.1)	LMPTP_YwlE_cluster	Hope|MATT FILE|MATT FILE|CHRIS FILE	482	1
rxn00692	Serine hydroxymethyltransferase (EC 2.1.2.1)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	482	1
rxn05559	formate/nitrite transporter family protein	NONE	CHRIS FILE	3046	1
rxn05559	Formate efflux transporter (TC 2.A.44 family)	NONE	CHRIS FILE	487	1
rxn09108	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	NONE	CHRIS FILE	1899	1
rxn03068	Ketol-acid reductoisomerase (EC 1.1.1.86)	NONE	Hope|MATT FILE|CHRIS FILE	492	1
rxn00566	Cystathionine beta-lyase (EC 4.4.1.8)	NONE	CHRIS FILE	493	1
rxn00566	Cystathionine gamma-lyase (EC 4.4.1.1)	NONE	Hope|MATT FILE	100911	1
rxn07431	Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	NONE	Hope|MATT FILE|CHRIS FILE	494	1
rxn07431	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	NONE	Hope|MATT FILE|CHRIS FILE	494	1
rxn08299	Diacylglycerol kinase (EC 2.7.1.107)	NONE	CHRIS FILE|CHRIS FILE	495	1
rxn08299	Diacylglycerol kinase (EC 2.7.1.107)	NONE	CHRIS FILE|CHRIS FILE	1918	1
rxn01220	Deoxycytidine kinase (EC 2.7.1.74)	NONE	Hope|MATT FILE	100912	1
rxn00992	D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	Polyhydroxybutyrate_metabolism	Hope|MATT FILE|CHRIS FILE	497	1
rxn07468	Dehydrosqualene desaturase (EC 1.14.99.-) (Diapophytoene desaturase) (4,4'-diapophytoene desaturase)	Polyprenyl_Diphosphate_Biosynthesis	MATT FILE	100913	1
rxn05361	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	NONE	CHRIS FILE	501	1
rxn00002	Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)	NONE	CHRIS FILE	2012	1
rxn00002	Allophanate hydrolase (EC 3.5.1.54)	NONE	MATT FILE	100914	1
rxn00002	Allophanate hydrolase	NONE	Hope	100915	0
rxn00002	Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)	NONE	CHRIS FILE	2012	1
rxn00654	Beta-ureidopropionase (EC 3.5.1.6)	NONE	Hope|MATT FILE	100916	1
rxn10197	Minor teichoic acid biosynthesis protein GgaA	NONE	CHRIS FILE	504	1
rxn10197	Minor teichoic acid biosynthesis protein GgaB	NONE	CHRIS FILE	503	1
rxn00467	Ornithine aminotransferase (EC 2.6.1.13)	NONE	Hope|MATT FILE|CHRIS FILE	505	1
rxn09988	Alpha-N-arabinofuranosidase (EC 3.2.1.55)	NONE	CHRIS FILE	506	1
rxn09988	Alpha-N-arabinofuranosidase 2 (EC 3.2.1.55)	NONE	CHRIS FILE	507	1
rxn01420	Homoisocitrate dehydrogenase (EC 1.1.1.87)	NONE	Hope|MATT FILE	100917	1
rxn00505	Isocitrate dehydrogenase 3 subunit beta, mitochondrial precursor (EC 1.1.1.41)	NONE	Hope|MATT FILE	100918	1
rxn00505	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	NONE	Hope|MATT FILE	100919	1
rxn00505	Isocitrate dehydrogenase [NAD] subunit II, mitochondrial precursor (EC 1.1.1.41)	NONE	Hope|MATT FILE	100920	1
rxn00505	NAD-dependent isocitrate dehydrogenase precursor (EC 1.1.1.41)	NONE	Hope|MATT FILE	100921	1
rxn00505	Isocitrate dehydrogenase [NAD] subunit I, mitochondrial precursor (EC 1.1.1.41)	NONE	Hope|MATT FILE	100922	1
rxn00505	Isocitrate dehydrogenase 3 subunit alpha, mitochondrial precursor (EC 1.1.1.41)	NONE	Hope|MATT FILE	100923	1
rxn00505	Isocitrate dehydrogenase 3 subunit gamma, mitochondrial precursor (EC 1.1.1.41)	NONE	Hope|MATT FILE	100924	1
rxn00505	putative isocitrate dehydrogenase (EC 1.1.1.41)	NONE	Hope|MATT FILE	100925	1
rxn08971	Type 2 NADH dehydrogenase (EC 1.6.99.3)	NONE	CHRIS FILE	1995	1
rxn08971	NADH dehydrogenase, subunit 5	NONE	CHRIS FILE	1996	1
rxn08971	NADH dehydrogenase (EC 1.6.99.3)	NONE	CHRIS FILE	1992	1
rxn01303	Homoserine O-acetyltransferase (EC 2.3.1.31)	NONE	Hope|MATT FILE	100926	1
rxn12634	Peptidase B (EC 3.4.11.23)	NONE	CHRIS FILE	1673	1
rxn12634	Membrane alanine aminopeptidase N (EC 3.4.11.2)	NONE	CHRIS FILE	1674	1
rxn12634	Isoaspartyl aminopeptidase (EC 3.4.19.5)	NONE	CHRIS FILE	1671	1
rxn12634	Methionine aminopeptidase (EC 3.4.11.18)	NONE	CHRIS FILE	1677	1
rxn12634	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	NONE	CHRIS FILE	1675	1
rxn12634	Asp-X dipeptidase	NONE	CHRIS FILE	1672	1
rxn12634	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	NONE	CHRIS FILE	1678	1
rxn12634	Cytosol aminopeptidase PepA (EC 3.4.11.1)	NONE	CHRIS FILE	1676	1
rxn05456	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	NONE	CHRIS FILE	508	1
rxn10261	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	NONE	CHRIS FILE	509	1
rxn10232	Phosphatidylserine decarboxylase (EC 4.1.1.65)	NONE	CHRIS FILE	511	1
rxn00300	GTP cyclohydrolase II (EC 3.5.4.25)	NONE	Hope|MATT FILE|CHRIS FILE	513	1
rxn02288	Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	NONE	Hope|MATT FILE|CHRIS FILE	518	1
rxn01962	Nucleoside triphosphate pyrophosphohydrolase MazG	NONE	Hope|MATT FILE	100927	1
rxn00907	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	519	1
rxn00907	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	519	1
rxn00907	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	519	1
rxn00907	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	NONE	CHRIS FILE	519	1
rxn02959	Mg-protoporphyrin O-methyltransferase (EC 2.1.1.11)	NONE	Hope|MATT FILE	100928	1
rxn08345	2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)	NONE	CHRIS FILE	1683	1
rxn08345	2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.274)	NONE	CHRIS FILE	1683	1
rxn05619	Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)	NONE	CHRIS FILE	3057	1
rxn05619	Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)	NONE	CHRIS FILE	520	1
rxn05619	Predicted molybdate-responsive regulator YvgK in bacilli	NONE	CHRIS FILE	520	1
rxn05619	Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)	NONE	CHRIS FILE	520	1
rxn05410	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	NONE	CHRIS FILE	521	1
rxn00509	Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.16)	Gamma-aminobutyrate_(GABA)_shunt	Hope|MATT FILE	100929	1
rxn05902	Ferredoxin--sulfite reductase (EC 1.8.7.1)	NONE	Hope|MATT FILE	100930	1
rxn05902	Ferredoxin--sulfite reductase, bacillial type (EC 1.8.7.1)	NONE	Hope|MATT FILE	100931	1
rxn05902	Ferredoxin--sulfite reductase, actinobacterial type (EC 1.8.7.1)	NONE	Hope|MATT FILE	100932	1
rxn01269	Prephenate and/or arogenate dehydrogenase (unknown specificity) (EC 1.3.1.12)(EC 1.3.1.43)	Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)	Hope|MATT FILE	100933	1
rxn01269	Prephenate and/or arogenate dehydrogenase (unknown specificity) (EC 1.3.1.12)(EC 1.3.1.43)	NONE	Hope|MATT FILE	100934	1
rxn01269	Prephenate dehydrogenase (EC 1.3.1.12)	Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)	Hope|MATT FILE	100935	1
rxn01269	Prephenate dehydrogenase (EC 1.3.1.12)	NONE	Hope|MATT FILE	100936	1
rxn01269	Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)	Phenylalanine_and_Tyrosine_Branches_from_Chorismate_(Phoenix_copy)	Hope|MATT FILE	100937	1
rxn01269	Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)	NONE	Hope|MATT FILE	100938	1
rxn04048	Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)	NONE	Hope|MATT FILE	100939	1
rxn00205	Glutathione peroxidase (EC 1.11.1.9)	Glutathione_Redox_Metabolism_3	Hope|MATT FILE|CHRIS FILE	527	1
rxn00278	alanine dehydrogenase (ald)	NONE	CHRIS FILE	2046	1
rxn00278	Alanine dehydrogenase (EC 1.4.1.1)	NONE	Hope|MATT FILE|CHRIS FILE	528	1
rxn00066	NADH peroxidase (EC 1.11.1.1)	NONE	Hope|MATT FILE	100940	1
rxn06673	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	NONE	Hope|MATT FILE|CHRIS FILE	529	1
rxn06673	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	NONE	Hope|MATT FILE|CHRIS FILE	529	1
rxn00790	Amidophosphoribosyltransferase (EC 2.4.2.14)	NONE	Hope|MATT FILE|CHRIS FILE	530	1
rxn01169	Hexokinase (EC 2.7.1.1)	NONE	Hope|MATT FILE|MATT FILE	100941	1
rxn01169	Hexokinase (EC 2.7.1.1)	NONE	Hope|MATT FILE|MATT FILE	100942	1
rxn01169	Glucokinase (EC 2.7.1.2)	NONE	Hope|MATT FILE|MATT FILE	100943	1
rxn01169	Glucokinase (EC 2.7.1.2)	NONE	Hope|MATT FILE|MATT FILE	100944	1
rxn01169	Glucokinase (EC 2.7.1.2)	NONE	Hope|MATT FILE|MATT FILE	100945	1
rxn08296	Diacylglycerol kinase (EC 2.7.1.107)	NONE	CHRIS FILE	1915	1
rxn05569	Phosphocarrier protein of PTS system	NONE	CHRIS FILE	534	2
rxn05569	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	NONE	CHRIS FILE|CHRIS FILE	534	2
rxn05569	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	NONE	CHRIS FILE|CHRIS FILE	534	2
rxn05569	PTS system, Glucosamine-specific IIA component (EC 2.7.1.69)	NONE	CHRIS FILE	2035	1
rxn05569	PTS system, Glucosamine-specific IIC component (EC 2.7.1.69)	NONE	CHRIS FILE	2035	1
rxn05569	PTS system, Glucosamine-specific IIB component (EC 2.7.1.69)	NONE	CHRIS FILE	2035	1
rxn05574	Hexuronate transporter	NONE	CHRIS FILE	533	1
rxn08805	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08805	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn00060	Porphobilinogen deaminase (EC 2.5.1.61)	NONE	Hope|MATT FILE|CHRIS FILE	540	1
rxn00006	Catalase (EC 1.11.1.6)	NONE	Hope|CHRIS FILE	543	1
rxn09202	Phosphatidylserine decarboxylase (EC 4.1.1.65)	NONE	CHRIS FILE|CHRIS FILE	547	1
rxn09202	Phosphatidylserine decarboxylase (EC 4.1.1.65)	NONE	CHRIS FILE|CHRIS FILE	1911	1
rxn10150	Citrate Succinate antiporter (TC 2.A.47.3.2)	NONE	CHRIS FILE	1637	1
rxn03239	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	NONE	CHRIS FILE	548	1
rxn03239	Enoyl-CoA hydratase [isoleucine degradation] (EC 4.2.1.17)	NONE	CHRIS FILE	548	1
rxn01704	3'-nucleotidase (EC 3.1.3.6)	NONE	Hope|MATT FILE	100946	1
rxn05394	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	NONE	CHRIS FILE	553	1
rxn04050	Cobalt-precorrin-6x reductase (EC 1.3.1.54)	NONE	Hope|MATT FILE	100947	1
rxn00306	Succinyl-CoA ligase [GDP-forming] alpha chain (EC 6.2.1.4)	NONE	Hope|MATT FILE	100948	1
rxn00306	Succinyl-CoA ligase [GDP-forming] beta chain (EC 6.2.1.4)	NONE	Hope|MATT FILE	100949	1
rxn05216	Sodium/glutamine symporter GlnT	NONE	CHRIS FILE	557	1
rxn02473	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	XXBOB	Hope|MATT FILE|CHRIS FILE	558	1
rxn02473	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	NONE	Hope|MATT FILE|CHRIS FILE	558	1
rxn01630	5-aminopentanamidase (EC 3.5.1.30)	NONE	Hope|MATT FILE	100950	1
rxn09127	Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)	NONE	CHRIS FILE	1938	1
rxn08128	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	NONE	CHRIS FILE	1683	1
rxn00834	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	NONE	Hope|MATT FILE|CHRIS FILE	559	1
